Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0402_1005Metric",155.448000,-78.994000,315.000000,top
"C2","12p","C_0603_1608Metric",156.210000,-87.122000,45.000000,top
"C3","12p","C_0603_1608Metric",162.306000,-85.598000,135.000000,top
"C4","100nF","C_0402_1005Metric",157.988000,-79.502000,135.000000,top
"C5","100nF","C_0402_1005Metric",156.464000,-77.978000,315.000000,top
"C6","100nF","C_0402_1005Metric",159.004000,-78.740000,135.000000,top
"C7","100nF","C_0402_1005Metric",157.394589,-77.130589,315.000000,top
"C8","10uF","C_0402_1005Metric",169.164000,-63.246000,270.000000,top
"C9","100nF","C_0402_1005Metric",156.972000,-80.518000,135.000000,top
"C10","100nF","C_0402_1005Metric",161.036000,-90.932000,135.000000,top
"C11","100nF","C_0402_1005Metric",163.830000,-63.246000,270.000000,top
"C12","100nF","C_0402_1005Metric",175.514000,-59.944000,90.000000,top
"C13","0.1uF","C_0402_1005Metric",160.020000,-69.088000,180.000000,top
"C15","0.1uF","C_0402_1005Metric",157.226000,-71.374000,180.000000,top
"C16","2.2nF","C_0603_1608Metric",159.512000,-65.024000,90.000000,top
"C17","10uF","C_0402_1005Metric",165.100000,-63.246000,270.000000,top
"C18","0.1uF","C_0402_1005Metric",168.402000,-93.472000,90.000000,top
"C19","0.1uF","C_0402_1005Metric",169.926000,-93.472000,90.000000,top
"D1","RED","D_0603_1608Metric",166.878000,-67.056000,90.000000,top
"D2","YELLOW","D_0603_1608Metric",164.338000,-87.630000,135.000000,top
"D3","GREEN","D_0603_1608Metric",166.370000,-89.916000,90.000000,top
"J3","USB_B_Micro","USB_Micro-B_Molex-105017-0001",180.086000,-64.516000,90.000000,top
"R1","10k","R_0402_1005Metric",177.038000,-86.108000,270.000000,top
"R2","10k","R_0402_1005Metric",178.308000,-87.884000,270.000000,top
"R3","10k","R_0402_1005Metric",156.464000,-63.500000,0.000000,top
"R4","10k","R_0402_1005Metric",154.940000,-61.976000,0.000000,top
"R5","220","R_0805_2012Metric",160.274000,-84.328000,225.000000,top
"R6","510","R_0603_1608Metric",166.878000,-71.120000,90.000000,top
"R7","510","R_0603_1608Metric",163.068000,-88.900000,315.000000,top
"R8","22","R_0402_1005Metric",174.752000,-64.262000,0.000000,top
"R9","22","R_0402_1005Metric",175.260000,-65.532000,0.000000,top
"R10","510","R_0603_1608Metric",164.846000,-91.948000,315.000000,top
"U1","STM32F103C8Tx","LQFP-48_7x7mm_P0.5mm",166.878000,-81.280000,45.000000,top
"U2","MPU-6050","InvenSense_QFN-24_4x4mm_P0.5mm",155.702000,-67.818000,0.000000,top
"U3","AMS1117","SOT-223-3_TabPin2",169.926000,-58.166000,0.000000,top
"U4","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",178.054000,-92.202000,0.000000,top
"Y1","Crystal","Crystal_SMD_3225-4Pin_3.2x2.5mm",158.750000,-88.392000,225.000000,top
